timestamp_sec,ego_x,ego_y,ego_yaw,ego_velocity,ai_x,ai_y,ai_yaw,mppi_mode,throttle,steering
1777586139.153449,-17.403729,-40.001529,0.000215,19.461661,-0.300000,-40.000000,0.000000,0,10.000000,0.000004
1777586139.183735,-16.815802,-40.001433,0.000216,19.585946,0.000000,-40.000000,0.000000,0,10.000000,0.000013
1777586139.203568,-16.426798,-40.001323,0.000216,19.668183,0.200000,-40.000000,0.000000,0,10.000000,0.000008
1777586139.233384,-15.838385,-39.998723,0.000217,19.790618,0.500000,-40.000000,0.000000,0,10.000000,0.000011
1777586139.253400,-15.448273,-39.996735,0.000217,19.871631,0.700000,-40.000000,0.000000,0,10.000000,-0.004444
1777586139.283516,-14.851446,-39.992916,0.000024,19.992237,1.000000,-40.000000,0.000000,0,10.000000,0.000023
1777586139.303527,-14.456607,-39.992379,-0.000073,20.072049,1.200000,-40.000000,0.000000,0,10.000000,0.000015
1777586139.333435,-13.852236,-39.992337,-0.000071,20.190866,1.500000,-40.000000,0.000000,0,10.000000,0.000026
1777586139.353699,-13.445586,-39.989779,-0.000070,20.269484,1.700000,-40.000000,0.000000,0,10.000000,0.000025
1777586139.383618,-12.838826,-39.987015,-0.000069,20.386531,2.000000,-40.000000,0.000000,0,10.000000,-0.004424
1777586139.403473,-12.431799,-39.984316,-0.000167,20.463974,2.200000,-40.000000,0.000000,0,10.000000,0.000042
1777586139.433440,-11.816890,-39.981011,-0.000264,20.579284,2.500000,-40.000000,0.000000,0,10.000000,-0.004418
1777586139.453444,-11.407630,-39.981151,-0.000362,20.655573,2.700000,-40.000000,0.000000,0,10.000000,0.000043
1777586139.483525,-10.788065,-39.982353,-0.000460,20.769167,3.000000,-40.000000,0.000000,0,10.000000,0.000058
1777586139.503453,-10.376933,-39.980850,-0.000458,20.844327,3.200000,-40.000000,0.000000,0,10.000000,-0.004469
1777586139.533406,-9.746752,-39.979545,-0.000660,20.956217,3.500000,-40.000000,0.000000,0,9.900576,0.000048
1777586139.553358,-9.325595,-39.980028,-0.000762,21.028281,3.700000,-40.000000,0.000000,0,9.460246,-0.004450
1777586139.583394,-8.703996,-39.978415,-0.000965,21.122403,4.000000,-40.000000,0.000000,0,8.845404,-0.004473
1777586139.603493,-8.277507,-39.976315,-0.001171,21.172427,4.200000,-40.000000,0.000000,0,8.353687,0.000048
1777586139.633459,-7.643212,-39.977291,-0.001272,21.232222,4.500000,-40.000000,0.000000,0,7.694448,0.000043
1777586139.653440,-7.223497,-39.980387,-0.001270,21.258639,4.700000,-40.000000,0.000000,0,7.258301,-0.004491
1777586139.683439,-6.586478,-39.985936,-0.001478,21.284935,5.000000,-40.000000,0.000000,0,6.590733,-0.000029
1777586139.703389,-6.165946,-39.983160,-0.001583,21.289034,5.200000,-40.000000,0.000000,0,6.119496,-0.000014
1777586139.733382,-5.526141,-39.985657,-0.001584,21.281054,5.500000,-40.000000,0.000000,0,5.440925,-0.000024
1777586139.753409,-5.102419,-39.987015,-0.001585,21.262242,5.700000,-40.000000,0.000000,0,5.009071,-0.000032
1777586139.783352,-4.469472,-39.987609,-0.001587,21.221339,6.000000,-40.000000,0.000000,0,4.361872,-0.000054
1777586139.803431,-4.046369,-39.987981,-0.001589,21.181368,6.200000,-40.000000,0.000000,0,3.889952,0.004515
1777586139.833555,-3.410875,-39.983078,-0.001382,21.107759,6.500000,-40.000000,0.000000,0,3.220646,0.000020
1777586139.915205,-2.989356,-39.985944,-0.001278,21.045719,6.700000,-40.000000,0.000000,1,0.299155,0.722480
1777586139.977569,-2.989356,-39.985944,-0.001278,21.045719,6.700000,-40.000000,0.000000,1,0.211136,0.755654
1777586140.039832,-2.366336,-39.986137,-0.001276,20.953343,7.000000,-40.000000,0.000000,1,0.137478,-0.089411
1777586140.101630,-1.115279,-39.937982,0.031858,20.514251,7.600000,-40.000000,0.000000,1,0.841246,-0.126777
1777586140.162732,0.088900,-39.676396,0.131664,20.147147,8.200000,-40.000000,0.000000,1,-0.272120,-0.412719
1777586140.224674,1.455294,-39.329690,0.193429,19.916789,8.900000,-40.000000,0.000000,1,-0.244835,0.084084
1777586140.285732,2.625978,-39.126978,0.179458,19.595232,9.500000,-40.000000,0.000000,1,-0.300000,0.469515
1777586140.367802,3.779273,-38.972696,0.151189,19.216675,10.100000,-40.000000,0.000000,1,-0.135280,0.741795
1777586140.428854,5.288874,-38.820736,0.123498,18.788075,10.900000,-40.000000,0.000000,1,0.543454,-0.279098
1777586140.490065,6.390225,-38.593345,0.165161,18.374897,11.500000,-40.000000,0.000000,1,0.542938,0.114408
1777586140.551027,7.439351,-38.277117,0.232696,17.939132,12.100000,-40.000000,0.000000,1,-0.097295,0.638187
1777586140.612103,8.452635,-37.927413,0.280852,17.763999,12.700000,-40.000000,0.000000,1,0.290222,0.450154
1777586140.673528,9.645036,-37.623630,0.265830,17.449743,13.400000,-40.000000,0.000000,1,-0.041580,0.395762
1777586140.734481,10.630722,-37.269076,0.308694,17.039755,14.000000,-40.000000,0.000000,1,0.016714,-1.000000
1777586140.795530,11.547911,-36.837091,0.369777,16.799781,14.600000,-40.000000,0.000000,1,-0.217567,-0.491058
1777586140.878087,12.439563,-36.382863,0.417259,16.519266,15.200000,-40.000000,0.000000,1,0.115661,0.122277
1777586140.879811,13.648776,-35.924876,0.373000,15.904823,16.000000,-40.000000,0.000000,0,10.000000,-1.000000
1777586140.880814,13.808837,-35.893948,0.354936,15.857344,16.100000,-40.000000,0.000000,0,6.426976,-1.000000
1777586140.881801,13.965997,-35.867145,0.336928,16.007488,16.200000,-40.000000,0.000000,0,-0.300000,-1.000000
1777586140.882782,14.122665,-35.831233,0.328282,15.957373,16.300000,-40.000000,0.000000,0,-0.300000,-1.000000
1777586140.883909,14.279460,-35.793126,0.319663,15.907409,16.400000,-40.000000,0.000000,0,-0.300000,-1.000000
1777586140.945387,14.434834,-35.753723,0.311071,15.857593,16.500000,-40.000000,0.000000,1,-0.105935,0.026055
1777586141.006552,14.744577,-35.682835,0.293968,15.758411,16.700000,-40.000000,0.000000,1,0.114676,-0.605672
1777586141.067872,15.682540,-35.554087,0.216165,15.268179,17.300000,-40.000000,0.000000,1,-0.226113,-1.000000
1777586141.128802,16.604689,-35.509579,0.148010,15.229907,17.900000,-40.000000,0.000000,1,-0.098044,0.616146
1777586141.189929,17.512231,-35.402614,0.129721,14.873269,18.500000,-40.000000,0.000000,1,-0.000894,-0.325840
1777586141.250871,18.398591,-35.437261,0.057075,14.451109,19.100000,-40.000000,0.000000,1,-0.140457,-0.601104
1777586141.311881,19.259365,-35.505461,0.011367,14.331574,19.700000,-40.000000,0.000000,1,0.443421,0.160283
1777586141.373082,20.245077,-35.432732,0.035104,14.133667,20.400000,-40.000000,0.000000,1,0.381538,-0.163346
1777586141.455316,21.084847,-35.481835,-0.007556,13.779008,21.000000,-40.000000,0.000000,1,0.130072,0.410293
1777586141.456654,22.182551,-35.533386,-0.023006,13.546600,21.800000,-40.000000,0.000000,1,1.453400,-0.500000
1777586141.457490,22.318608,-35.530209,-0.020638,13.510447,21.900000,-40.000000,0.000000,1,1.489553,-0.500000
